iter	Passed	Remaining
328	56229	114681
329	56443	114596
330	56678	114555
331	56863	114411
332	57075	114322
333	57228	114114
334	57393	113929
335	57572	113774
336	57740	113597
337	57917	113435
338	58080	113248
339	58232	113038
340	58412	112884
341	58552	112652
342	58672	112383
343	58827	112182
344	58992	112000
345	59165	111833
346	59324	111640
347	59505	111487
348	59663	111291
349	59815	111086
350	59963	110873
351	60129	110692
352	60319	110557
353	60506	110415
354	60668	110229
355	60826	110034
356	60988	109847
357	61176	109708
358	61345	109532
359	61519	109367
360	61654	109133
361	61817	108948
362	61991	108784
363	62154	108600
364	62334	108444
365	62514	108290
366	62672	108097
367	62800	107852
368	62970	107681
369	63129	107491
370	63278	107284
371	63429	107079
372	63607	106921
373	63796	106783
374	63956	106593
375	64106	106389
376	64284	106231
377	64455	106062
378	64640	105914
379	64785	105701
380	64952	105525
381	65114	105342
382	65294	105186
383	65436	104971
384	65613	104810
385	65812	104686
386	66028	104588
387	66234	104472
388	66444	104364
389	66680	104294
390	66880	104169
391	67079	104041
392	67271	103902
393	67466	103768
394	67640	103601
395	67823	103448
396	67994	103276
397	68165	103104
398	68329	102922
